Frame_ID,Person_ID,Subject,Activity,Trial,Hip_X,Hip_Y,Hip_Z,RHip_X,RHip_Y,RHip_Z,RKnee_X,RKnee_Y,RKnee_Z,RAnkle_X,RAnkle_Y,RAnkle_Z,LHip_X,LHip_Y,LHip_Z,LKnee_X,LKnee_Y,LKnee_Z,LAnkle_X,LAnkle_Y,LAnkle_Z,Spine_X,Spine_Y,Spine_Z,Thorax_X,Thorax_Y,Thorax_Z,Neck_X,Neck_Y,Neck_Z,Head_X,Head_Y,Head_Z,LShoulder_X,LShoulder_Y,LShoulder_Z,LElbow_X,LElbow_Y,LElbow_Z,LWrist_X,LWrist_Y,LWrist_Z,RShoulder_X,RShoulder_Y,RShoulder_Z,RElbow_X,RElbow_Y,RElbow_Z,RWrist_X,RWrist_Y,RWrist_Z
1,1,Subject_1,ADL,05,-0.000219,0.000338,0.972138,0.002714,-0.093966,0.958643,-0.006307,-0.073769,0.503547,-0.184515,-0.315705,0.395355,-0.020227,0.089179,0.977686,0.133735,-0.031339,0.540670,-0.060658,-0.192822,0.276681,0.104749,0.087793,1.141901,0.233353,0.252801,1.228895,0.166077,0.337261,1.097572,0.221894,0.427781,1.192930,0.209644,0.305187,1.060293,0.231039,0.393077,0.847230,0.078366,0.363813,0.937382,0.294305,0.237085,1.284629,0.260476,0.325405,0.949236,0.155048,0.107478,0.908312
2,1,Subject_1,ADL,05,-0.000946,-0.001027,0.971577,-0.012623,-0.106801,0.957276,-0.079613,0.008532,0.490002,-0.247374,-0.178106,0.218999,0.021881,0.103650,0.983067,0.152378,-0.006733,0.521146,0.000817,0.017182,0.071072,0.027668,0.046969,1.200518,0.143599,0.129855,1.366297,0.184557,0.136664,1.237448,0.204908,0.233073,1.246765,0.077517,0.179564,1.281289,0.012687,0.202488,1.057870,-0.004971,0.237820,0.990164,0.174999,0.102729,1.360840,0.110326,0.032402,1.045210,0.107945,-0.015640,0.916114
3,1,Subject_1,ADL,05,-0.000277,-0.000357,0.971094,-0.030286,-0.107068,0.951944,-0.120113,0.022855,0.490243,-0.269822,0.033894,0.085804,0.045596,0.109238,0.988429,0.171250,0.013810,0.526299,0.076660,0.024935,0.024569,0.001670,0.068409,1.207527,0.099424,0.105451,1.377782,0.206006,0.070218,1.302181,0.172717,0.155140,1.243988,0.032919,0.174460,1.345852,0.025337,0.261460,1.320499,0.041822,0.229008,1.048993,0.083093,0.036382,1.367836,-0.039888,-0.112223,1.133252,0.018201,-0.132674,0.907535
4,1,Subject_1,ADL,05,0.000090,0.000048,0.971352,-0.056840,-0.092643,0.945007,-0.127427,0.029620,0.479607,-0.207889,0.175549,0.065952,0.064903,0.104471,0.993157,0.188979,-0.004920,0.533344,0.167219,-0.013779,0.045691,-0.019310,0.058305,1.198999,0.084105,0.051700,1.369075,0.232314,-0.015313,1.327797,0.260920,-0.016735,1.316824,0.039998,0.152446,1.341786,0.032485,0.257119,1.277846,0.043690,0.206477,1.012211,0.025954,-0.015384,1.371332,-0.065441,-0.133844,1.111267,0.018681,-0.212684,0.891973
5,1,Subject_1,ADL,05,-0.000346,0.000219,0.971320,-0.101815,-0.062608,0.949576,-0.145087,0.038102,0.478441,-0.229540,0.202514,0.097281,0.103233,0.079359,0.989571,0.230187,-0.040045,0.545885,0.261796,-0.081116,0.077412,-0.019938,0.035583,1.206167,0.098572,0.015750,1.398775,0.187081,-0.037448,1.385238,0.168942,0.024664,1.414782,0.110329,0.104571,1.367543,0.103080,0.243609,1.271931,0.077705,0.192585,1.007824,-0.015456,-0.047838,1.398471,-0.071092,-0.185017,1.143182,0.020706,-0.260402,0.909641
6,1,Subject_1,ADL,05,-0.001558,0.000961,0.971454,-0.129894,-0.047871,0.956531,-0.168483,0.003565,0.483679,-0.277841,0.147002,0.098280,0.125166,0.050410,0.982181,0.254798,-0.082576,0.538166,0.332983,-0.167219,0.097513,-0.002648,0.013822,1.219514,0.112387,-0.044854,1.426918,0.192698,-0.098610,1.423404,0.107363,-0.000620,1.439517,0.141748,0.067742,1.416905,0.124130,0.232253,1.293439,0.133716,0.194435,1.026924,-0.000970,-0.141842,1.423224,-0.074564,-0.245428,1.179643,0.035105,-0.284229,0.906367
7,1,Subject_1,ADL,05,-0.000000,0.000000,0.971251,-0.128755,-0.035050,0.958907,-0.192485,-0.024267,0.497935,-0.310713,0.140754,0.123001,0.128617,0.037834,0.978478,0.239636,-0.107882,0.543693,0.373658,-0.213206,0.127820,0.018302,0.003256,1.226724,0.158134,-0.071766,1.431092,0.249669,-0.084373,1.442541,0.139780,-0.001598,1.506400,0.153416,0.049473,1.432894,0.148422,0.224990,1.281917,0.166202,0.194373,1.038280,0.060995,-0.162086,1.429549,-0.052218,-0.247816,1.198339,0.022018,-0.282363,0.970477
8,1,Subject_1,ADL,05,-0.000000,0.000000,0.971251,-0.129312,-0.034840,0.960040,-0.222352,-0.043015,0.510156,-0.361764,0.110166,0.139697,0.131047,0.036740,0.979612,0.221280,-0.129539,0.549918,0.385587,-0.235690,0.140451,0.017197,-0.013005,1.221177,0.122541,-0.126803,1.425418,0.179321,-0.135462,1.458230,0.121291,-0.099506,1.574159,0.143246,0.002784,1.438360,0.181345,0.199313,1.246189,0.197437,0.173295,1.026785,0.019581,-0.191918,1.425455,-0.069693,-0.263849,1.192826,-0.001898,-0.283103,0.983273
9,1,Subject_1,ADL,05,-0.000000,0.000000,0.971251,-0.131314,-0.040695,0.960726,-0.248652,-0.042014,0.518101,-0.409427,0.113769,0.156804,0.130940,0.034712,0.978966,0.209824,-0.131862,0.548324,0.351798,-0.242727,0.149197,-0.005146,-0.004388,1.224128,0.075960,-0.114014,1.428044,0.145181,-0.119768,1.466950,0.164638,-0.069882,1.586641,0.137197,0.005588,1.441091,0.194382,0.173642,1.200316,0.234323,0.133469,1.005940,-0.035248,-0.155063,1.424351,-0.080048,-0.244819,1.174754,-0.018881,-0.309053,0.992749
10,1,Subject_1,ADL,05,0.000000,0.000000,0.971251,-0.133535,-0.030718,0.960675,-0.242676,-0.019864,0.521000,-0.399540,0.152036,0.150456,0.131858,0.024578,0.982468,0.204022,-0.121818,0.548547,0.358128,-0.183438,0.138016,-0.028361,0.011953,1.211788,0.019733,-0.075075,1.426978,0.097757,-0.081118,1.455408,0.087077,-0.081452,1.576975,0.117671,-0.009640,1.445367,0.185319,0.154093,1.202899,0.224704,0.140603,1.005209,-0.125429,-0.058935,1.421854,-0.188875,-0.184694,1.165174,-0.176222,-0.259665,0.997398
11,1,Subject_1,ADL,05,-0.000000,0.000000,0.971251,-0.136773,-0.017531,0.958611,-0.238200,-0.047252,0.534561,-0.393310,0.163127,0.156022,0.131588,0.008850,0.984093,0.189640,-0.137842,0.562643,0.322290,-0.186760,0.120754,-0.039491,0.017121,1.215574,0.010731,-0.056793,1.439819,0.083266,-0.106522,1.440375,0.085735,-0.082503,1.540693,0.118267,-0.028193,1.448218,0.207827,0.139782,1.223128,0.234352,0.151737,1.003991,-0.157411,-0.029221,1.433133,-0.244199,-0.088289,1.180312,-0.231659,-0.120024,0.987661
12,1,Subject_1,ADL,05,-0.000000,0.000000,0.971251,-0.138370,-0.017306,0.961018,-0.209851,-0.075943,0.521348,-0.367689,0.158254,0.147521,0.128812,0.015097,0.984219,0.194505,-0.121351,0.548727,0.299554,-0.171488,0.095429,-0.042935,0.011672,1.211931,0.010586,-0.061343,1.444187,0.094998,-0.097347,1.423647,0.075919,-0.083713,1.447589,0.118616,-0.026927,1.449420,0.228441,0.146284,1.237881,0.228740,0.139007,1.005704,-0.151887,-0.023578,1.454706,-0.253177,-0.052129,1.187883,-0.242060,-0.077896,0.989064
13,1,Subject_1,ADL,05,0.000000,0.000000,0.971251,-0.139097,-0.028129,0.962695,-0.174759,-0.102907,0.520818,-0.340859,0.157477,0.150480,0.128828,0.023833,0.985537,0.206654,-0.112079,0.539114,0.278284,-0.153379,0.083895,-0.025919,0.022485,1.216817,0.053303,-0.041339,1.440844,0.137690,-0.077061,1.414749,0.144788,-0.033040,1.420810,0.158224,-0.018916,1.433811,0.277633,0.145451,1.230964,0.263674,0.143212,0.978751,-0.110509,-0.015084,1.444359,-0.219225,-0.032413,1.195497,-0.196418,-0.029640,0.968648
14,1,Subject_1,ADL,05,0.000000,0.000000,0.971251,-0.136170,-0.024394,0.962999,-0.140456,-0.103600,0.521330,-0.317557,0.164173,0.159416,0.126666,0.025771,0.984519,0.198884,-0.112278,0.538295,0.248295,-0.141720,0.076586,-0.015269,0.025624,1.219131,0.068245,-0.047954,1.445762,0.151106,-0.094751,1.419990,0.156994,-0.063145,1.440687,0.172460,-0.022455,1.429442,0.288505,0.124096,1.204713,0.286982,0.121204,0.956569,-0.093354,-0.039093,1.429858,-0.146572,-0.053061,1.152538,-0.132360,-0.044987,0.959685
15,1,Subject_1,ADL,05,0.000000,0.000000,0.971251,-0.129460,-0.037810,0.954748,-0.101252,-0.124154,0.508278,-0.267895,0.150455,0.162088,0.125100,0.036710,0.987655,0.209451,-0.106836,0.540169,0.245576,-0.098182,0.076015,-0.011726,0.012240,1.210550,0.086631,-0.080601,1.434352,0.158830,-0.122125,1.421623,0.169823,-0.066561,1.430069,0.189579,-0.052859,1.405437,0.298221,0.075889,1.169950,0.318268,0.093746,0.922462,-0.081527,-0.076095,1.410202,-0.118537,-0.161092,1.127342,-0.100217,-0.144609,0.886430
