Frame_ID,Person_ID,Subject,Activity,Trial,Hip_X,Hip_Y,Hip_Z,RHip_X,RHip_Y,RHip_Z,RKnee_X,RKnee_Y,RKnee_Z,RAnkle_X,RAnkle_Y,RAnkle_Z,LHip_X,LHip_Y,LHip_Z,LKnee_X,LKnee_Y,LKnee_Z,LAnkle_X,LAnkle_Y,LAnkle_Z,Spine_X,Spine_Y,Spine_Z,Thorax_X,Thorax_Y,Thorax_Z,Neck_X,Neck_Y,Neck_Z,Head_X,Head_Y,Head_Z,LShoulder_X,LShoulder_Y,LShoulder_Z,LElbow_X,LElbow_Y,LElbow_Z,LWrist_X,LWrist_Y,LWrist_Z,RShoulder_X,RShoulder_Y,RShoulder_Z,RElbow_X,RElbow_Y,RElbow_Z,RWrist_X,RWrist_Y,RWrist_Z
1,1,Subject_3,Fall,11,0.000000,0.000000,0.878641,-0.033665,-0.126523,0.886867,-0.073907,-0.215804,0.461422,-0.190989,-0.302398,0.049095,0.048522,0.123231,0.876827,-0.021153,0.040333,0.455326,-0.102023,-0.034572,0.037930,-0.027802,0.041820,1.136411,0.005350,0.043429,1.387451,0.086815,-0.008993,1.473179,0.104317,0.041720,1.582988,0.029049,0.185777,1.375675,0.053198,0.272684,1.112139,0.226125,0.111254,1.145153,-0.052725,-0.079591,1.403069,-0.041746,-0.278381,1.183457,0.118449,-0.176790,1.309479
2,1,Subject_3,Fall,11,0.000000,0.000000,0.878641,-0.033594,-0.126340,0.886614,-0.073517,-0.215778,0.461120,-0.192737,-0.303796,0.051814,0.048701,0.123108,0.877548,-0.023760,0.041334,0.456270,-0.097122,-0.032875,0.036714,-0.028025,0.041945,1.136990,0.004721,0.041906,1.388634,0.085461,-0.009672,1.475646,0.101702,0.041832,1.585641,0.028480,0.184413,1.377272,0.053045,0.272472,1.113756,0.225392,0.110587,1.143848,-0.054169,-0.079386,1.404791,-0.047478,-0.271098,1.176740,0.108184,-0.186768,1.286000
3,1,Subject_3,Fall,11,0.000000,0.000000,0.878641,-0.031460,-0.126418,0.886117,-0.073847,-0.215753,0.461414,-0.193454,-0.306268,0.054421,0.047957,0.123197,0.878173,-0.026872,0.041397,0.457045,-0.091519,-0.029467,0.035390,-0.027862,0.041773,1.137477,0.004758,0.040470,1.390125,0.085035,-0.010508,1.476844,0.100255,0.041880,1.588467,0.028488,0.182029,1.379186,0.051548,0.272493,1.115167,0.225862,0.109713,1.140992,-0.055710,-0.078107,1.407396,-0.053924,-0.262032,1.169786,0.100987,-0.191680,1.259015
4,1,Subject_3,Fall,11,0.000000,0.000000,0.878641,-0.029107,-0.126935,0.884554,-0.077772,-0.219952,0.463358,-0.194789,-0.311673,0.056339,0.046992,0.123926,0.878421,-0.031226,0.041566,0.460351,-0.091477,-0.030467,0.037861,-0.027459,0.041419,1.136801,0.003932,0.041068,1.389796,0.085498,-0.007654,1.476154,0.098466,0.043910,1.589936,0.028294,0.180443,1.381139,0.050708,0.272809,1.115757,0.224374,0.111878,1.140232,-0.058571,-0.075078,1.409864,-0.064571,-0.252270,1.165743,0.092068,-0.194214,1.235360
5,1,Subject_3,Fall,11,0.000000,0.000000,0.878641,-0.025367,-0.126307,0.884740,-0.078238,-0.218470,0.464169,-0.197420,-0.310744,0.060258,0.044306,0.125426,0.878466,-0.036642,0.044216,0.462894,-0.096930,-0.035843,0.041059,-0.027616,0.040809,1.136672,0.001314,0.040856,1.390515,0.084754,-0.005822,1.477356,0.097390,0.046709,1.590262,0.025239,0.180022,1.382434,0.049910,0.274247,1.116821,0.222402,0.113292,1.138383,-0.061534,-0.072445,1.412278,-0.079092,-0.239524,1.161348,0.077026,-0.196639,1.212328
6,1,Subject_3,Fall,11,0.000000,0.000000,0.878641,-0.022507,-0.125965,0.884830,-0.077223,-0.219800,0.465393,-0.197367,-0.309599,0.063258,0.042369,0.126178,0.878837,-0.041614,0.043086,0.464629,-0.097317,-0.037649,0.041413,-0.027699,0.041170,1.136736,-0.000525,0.040422,1.391002,0.085050,-0.004666,1.476800,0.097155,0.045623,1.590821,0.023528,0.179264,1.385115,0.047592,0.276464,1.118915,0.222166,0.117806,1.139367,-0.062811,-0.069768,1.411961,-0.097028,-0.228456,1.160079,0.067231,-0.193305,1.199883
7,1,Subject_3,Fall,11,0.000000,0.000000,0.878641,-0.020254,-0.126887,0.883453,-0.076954,-0.219701,0.465594,-0.198203,-0.310227,0.064384,0.040881,0.127868,0.879562,-0.043905,0.042848,0.465057,-0.096723,-0.036640,0.041425,-0.026185,0.039971,1.136071,0.000849,0.038656,1.390150,0.085766,-0.004220,1.474839,0.096881,0.046070,1.589396,0.023001,0.176994,1.387695,0.045540,0.277289,1.120375,0.221426,0.119388,1.139876,-0.061099,-0.069539,1.413197,-0.112947,-0.219492,1.158603,0.058104,-0.195728,1.189578
8,1,Subject_3,Fall,11,0.000000,0.000000,0.878641,-0.018319,-0.127200,0.883220,-0.076977,-0.218315,0.465342,-0.197814,-0.312280,0.065117,0.038999,0.128813,0.880440,-0.044390,0.043130,0.465537,-0.100322,-0.037989,0.043204,-0.026366,0.038666,1.136250,0.002333,0.034804,1.389605,0.086782,-0.006029,1.475088,0.095564,0.041866,1.591410,0.024596,0.174253,1.389287,0.049683,0.280032,1.124630,0.222821,0.115117,1.142899,-0.059627,-0.071573,1.412571,-0.123259,-0.212006,1.156029,0.043494,-0.204952,1.180355
9,1,Subject_3,Fall,11,0.000000,0.000000,0.878641,-0.020326,-0.127938,0.884725,-0.076689,-0.217523,0.463583,-0.196143,-0.312327,0.063501,0.039345,0.128423,0.880696,-0.041729,0.041852,0.463697,-0.098271,-0.035643,0.040853,-0.025049,0.038378,1.136389,0.006696,0.031525,1.389424,0.089875,-0.007600,1.473941,0.099819,0.040574,1.589789,0.028108,0.173101,1.389190,0.051854,0.277220,1.124489,0.224304,0.108889,1.142413,-0.055568,-0.073754,1.410410,-0.132042,-0.204522,1.154027,0.034611,-0.206980,1.171201
10,1,Subject_3,Fall,11,0.000000,0.000000,0.878641,-0.022574,-0.127760,0.885121,-0.074811,-0.215086,0.461461,-0.193683,-0.312467,0.060457,0.039930,0.128307,0.881195,-0.037148,0.043174,0.462608,-0.094289,-0.032926,0.038592,-0.025127,0.039624,1.135636,0.010427,0.031858,1.387926,0.093174,-0.007040,1.470341,0.105335,0.041496,1.584517,0.031354,0.173602,1.386034,0.055221,0.274170,1.121988,0.226188,0.102216,1.138981,-0.053727,-0.074572,1.406394,-0.137047,-0.200639,1.151984,0.031068,-0.209027,1.166555
