Frame_ID,Person_ID,Subject,Activity,Trial,Hip_X,Hip_Y,Hip_Z,RHip_X,RHip_Y,RHip_Z,RKnee_X,RKnee_Y,RKnee_Z,RAnkle_X,RAnkle_Y,RAnkle_Z,LHip_X,LHip_Y,LHip_Z,LKnee_X,LKnee_Y,LKnee_Z,LAnkle_X,LAnkle_Y,LAnkle_Z,Spine_X,Spine_Y,Spine_Z,Thorax_X,Thorax_Y,Thorax_Z,Neck_X,Neck_Y,Neck_Z,Head_X,Head_Y,Head_Z,LShoulder_X,LShoulder_Y,LShoulder_Z,LElbow_X,LElbow_Y,LElbow_Z,LWrist_X,LWrist_Y,LWrist_Z,RShoulder_X,RShoulder_Y,RShoulder_Z,RElbow_X,RElbow_Y,RElbow_Z,RWrist_X,RWrist_Y,RWrist_Z
1,1,Subject_02,Fall,T05,0.000000,0.000000,0.851901,0.105358,0.084482,0.854420,0.016493,-0.035324,0.426765,-0.066072,-0.402217,0.311222,-0.098319,-0.081579,0.855095,-0.137398,0.086969,0.501827,0.021266,-0.007247,0.203929,0.055669,-0.006412,1.090111,-0.003294,0.001637,1.346750,-0.100941,0.042697,1.415534,-0.096788,0.026855,1.527947,-0.079080,-0.114050,1.307075,-0.085044,-0.186865,1.049042,-0.159907,-0.250725,0.835976,0.108446,0.079443,1.331800,0.168338,0.126423,1.064993,0.106445,0.205137,0.844713
2,1,Subject_02,Fall,T05,0.000000,0.000000,0.851901,0.104169,0.083481,0.854215,0.022195,-0.051102,0.423880,-0.058917,-0.400712,0.304164,-0.099395,-0.080158,0.853401,-0.135714,0.101160,0.499968,0.008060,0.009748,0.201323,0.053107,-0.003965,1.091326,-0.008409,0.003146,1.347798,-0.105244,0.042218,1.416674,-0.100261,0.027307,1.531351,-0.082532,-0.115021,1.310519,-0.083196,-0.190253,1.052325,-0.162464,-0.253626,0.838703,0.105794,0.078955,1.333968,0.173789,0.126869,1.066139,0.109688,0.201078,0.844343
3,1,Subject_02,Fall,T05,0.000000,0.000000,0.851901,0.106144,0.082607,0.855433,0.032915,-0.052259,0.422647,-0.052753,-0.402324,0.303082,-0.102868,-0.075981,0.852576,-0.139355,0.095804,0.485434,-0.012662,0.014002,0.175198,0.051976,-0.003483,1.092153,-0.015635,0.006629,1.346391,-0.108762,0.046273,1.415097,-0.103940,0.029574,1.529017,-0.092300,-0.112183,1.312807,-0.086052,-0.192751,1.055757,-0.163050,-0.252993,0.838270,0.104529,0.077926,1.334265,0.178268,0.125155,1.069086,0.114216,0.198407,0.849110
4,1,Subject_02,Fall,T05,0.000000,0.000000,0.851901,0.108206,0.079160,0.851993,0.038625,-0.031842,0.416380,-0.051398,-0.396279,0.310087,-0.106715,-0.066254,0.855279,-0.137819,0.102770,0.483712,-0.055942,-0.020249,0.152220,0.046497,-0.000845,1.091253,-0.025263,0.011459,1.343120,-0.117399,0.049682,1.408127,-0.111107,0.030139,1.524419,-0.103246,-0.106733,1.313217,-0.095699,-0.186780,1.053472,-0.170913,-0.249202,0.836103,0.100355,0.078642,1.332254,0.179424,0.120784,1.069335,0.119065,0.199379,0.849177
5,1,Subject_02,Fall,T05,0.000012,0.000024,0.851864,0.113069,0.078839,0.850879,0.056329,0.013304,0.397125,-0.024677,-0.354466,0.303115,-0.109612,-0.058091,0.855940,-0.131300,0.085785,0.485761,-0.101191,-0.055158,0.191071,0.043932,-0.003409,1.093478,-0.031742,0.005342,1.345675,-0.124478,0.042687,1.415221,-0.119564,0.023437,1.531150,-0.113971,-0.103877,1.314077,-0.102297,-0.191839,1.049568,-0.167001,-0.254910,0.830504,0.097447,0.065542,1.338533,0.186937,0.106819,1.076080,0.127143,0.184585,0.854956
6,1,Subject_02,Fall,T05,0.000015,0.000030,0.851855,0.114093,0.071703,0.851573,0.066420,0.020152,0.397526,-0.005922,-0.337784,0.304411,-0.110944,-0.057240,0.853626,-0.128012,0.030970,0.464315,-0.165244,-0.166367,0.278766,0.042423,-0.003849,1.092378,-0.033166,0.003307,1.343685,-0.127099,0.039256,1.412396,-0.120504,0.016109,1.527614,-0.115837,-0.104908,1.312260,-0.104049,-0.192076,1.047725,-0.162915,-0.266781,0.827322,0.095823,0.055669,1.340120,0.194278,0.090938,1.084780,0.139446,0.171802,0.863182
7,1,Subject_02,Fall,T05,0.000000,0.000000,0.851901,0.113912,0.069396,0.851424,0.078254,0.032503,0.396304,-0.000092,-0.324560,0.303703,-0.112884,-0.053987,0.854088,-0.128617,-0.017955,0.443082,-0.200751,-0.297829,0.323491,0.040802,-0.003874,1.090847,-0.037978,-0.000031,1.344090,-0.130338,0.035743,1.411149,-0.121462,0.013751,1.528461,-0.119835,-0.104513,1.315290,-0.110433,-0.193891,1.047776,-0.168813,-0.270035,0.829319,0.094431,0.048244,1.344702,0.198751,0.077592,1.090015,0.149313,0.159640,0.869181
8,1,Subject_02,Fall,T05,0.000000,0.000000,0.851901,0.115277,0.063238,0.850765,0.090604,0.042373,0.399143,0.012774,-0.316693,0.301698,-0.114903,-0.049983,0.851354,-0.100619,0.053019,0.456157,-0.196258,-0.262567,0.330200,0.037431,-0.005563,1.090201,-0.043879,-0.003568,1.342513,-0.133353,0.034062,1.408712,-0.124421,0.010766,1.524946,-0.124571,-0.104098,1.313739,-0.109754,-0.198245,1.047478,-0.164393,-0.277844,0.831505,0.089770,0.044222,1.345988,0.199997,0.069413,1.095320,0.161974,0.152416,0.877171
9,1,Subject_02,Fall,T05,0.000000,0.000000,0.851901,0.116401,0.062822,0.852066,0.092129,0.015906,0.398233,0.015917,-0.343363,0.291663,-0.116603,-0.053233,0.849654,-0.079531,0.100144,0.468501,-0.113377,-0.133933,0.262422,0.035429,-0.005838,1.091664,-0.049746,0.000309,1.341531,-0.134918,0.044355,1.407606,-0.127779,0.019899,1.521791,-0.132744,-0.101647,1.312042,-0.114815,-0.203118,1.050402,-0.160428,-0.278374,0.831355,0.088623,0.048994,1.343526,0.201297,0.069695,1.098649,0.174250,0.153763,0.879825
10,1,Subject_02,Fall,T05,0.000000,0.000000,0.851901,0.114914,0.065398,0.853759,0.101813,0.025789,0.404060,0.018547,-0.346311,0.294302,-0.116394,-0.057823,0.846530,-0.093698,0.086040,0.469170,-0.079868,-0.068660,0.146799,0.034220,-0.004632,1.092889,-0.055598,0.000578,1.342164,-0.142499,0.045211,1.406539,-0.137425,0.019388,1.520568,-0.138558,-0.100649,1.314945,-0.120794,-0.205680,1.052642,-0.161126,-0.281236,0.836414,0.084320,0.049207,1.346194,0.201229,0.065144,1.101178,0.181531,0.144504,0.883105
11,1,Subject_02,Fall,T05,0.000000,0.000000,0.851901,0.109092,0.072037,0.855675,0.103073,0.027238,0.405665,0.009534,-0.357936,0.283563,-0.114250,-0.063788,0.846440,-0.105084,0.054174,0.463243,-0.065135,0.010015,0.115840,0.033406,-0.002258,1.096352,-0.061027,0.004334,1.342269,-0.147334,0.049120,1.405086,-0.142363,0.020956,1.517746,-0.143333,-0.102552,1.317776,-0.121035,-0.210042,1.058043,-0.165526,-0.286061,0.841136,0.079553,0.055878,1.348574,0.199768,0.063189,1.102820,0.189558,0.141717,0.880875
