Frame_ID,Person_ID,Subject,Activity,Trial,Hip_X,Hip_Y,Hip_Z,RHip_X,RHip_Y,RHip_Z,RKnee_X,RKnee_Y,RKnee_Z,RAnkle_X,RAnkle_Y,RAnkle_Z,LHip_X,LHip_Y,LHip_Z,LKnee_X,LKnee_Y,LKnee_Z,LAnkle_X,LAnkle_Y,LAnkle_Z,Spine_X,Spine_Y,Spine_Z,Thorax_X,Thorax_Y,Thorax_Z,Neck_X,Neck_Y,Neck_Z,Head_X,Head_Y,Head_Z,LShoulder_X,LShoulder_Y,LShoulder_Z,LElbow_X,LElbow_Y,LElbow_Z,LWrist_X,LWrist_Y,LWrist_Z,RShoulder_X,RShoulder_Y,RShoulder_Z,RElbow_X,RElbow_Y,RElbow_Z,RWrist_X,RWrist_Y,RWrist_Z
1,1,Subject_03,ADL,T18,0.000000,0.000000,0.860235,-0.082355,-0.112161,0.859995,-0.160724,-0.027055,0.434831,-0.220256,0.092750,0.028237,0.091959,0.102022,0.859562,0.117971,-0.073053,0.455543,0.164184,-0.166420,0.024044,-0.012782,0.022470,1.121715,0.053494,-0.026813,1.355084,0.155918,-0.046300,1.414758,0.177318,-0.037448,1.530502,0.097328,0.111925,1.372091,0.120436,0.217689,1.119771,0.206795,-0.003826,1.030499,-0.057308,-0.117766,1.367397,-0.140597,-0.207326,1.119952,0.020984,-0.252928,1.057341
2,1,Subject_03,ADL,T18,0.000000,0.000000,0.860235,-0.091386,-0.105463,0.855650,-0.155755,-0.029788,0.430576,-0.235251,0.117950,0.037138,0.096193,0.097886,0.862375,0.122054,-0.075537,0.457053,0.147252,-0.156313,0.025759,-0.010405,0.019800,1.120996,0.059772,-0.025481,1.354648,0.164917,-0.045184,1.411404,0.194395,-0.028663,1.525167,0.104537,0.111107,1.366784,0.126961,0.213109,1.109970,0.213174,0.001351,1.017574,-0.050379,-0.127341,1.363620,-0.128628,-0.218095,1.114336,0.041392,-0.244643,1.047751
3,1,Subject_03,ADL,T18,0.000000,0.000000,0.860235,-0.089938,-0.105665,0.853160,-0.135727,-0.051758,0.420543,-0.262813,0.125434,0.053339,0.094019,0.098510,0.866443,0.116278,-0.066512,0.453819,0.121069,-0.130089,0.025297,-0.013137,0.020524,1.120644,0.059094,-0.023687,1.353451,0.169520,-0.048162,1.401266,0.209348,-0.031851,1.511648,0.104599,0.113042,1.361210,0.126658,0.211379,1.097434,0.207968,0.000364,1.006996,-0.054005,-0.130830,1.356737,-0.119936,-0.219746,1.100917,0.052004,-0.242582,1.036362
4,1,Subject_03,ADL,T18,0.000000,0.000000,0.860235,-0.085257,-0.110029,0.850254,-0.090639,-0.109363,0.411014,-0.260685,0.135301,0.104111,0.084617,0.104522,0.869156,0.112245,-0.049736,0.454748,0.098149,-0.102642,0.021756,-0.010246,0.020710,1.120182,0.073449,-0.019013,1.351263,0.183291,-0.050206,1.391375,0.229076,-0.029337,1.495123,0.119166,0.115456,1.356999,0.133512,0.216167,1.090109,0.217682,0.012212,0.996113,-0.041897,-0.130290,1.359253,-0.097837,-0.226653,1.102340,0.082462,-0.221399,1.037832
5,1,Subject_03,ADL,T18,0.000000,0.000000,0.860235,-0.075886,-0.114087,0.850900,-0.047086,-0.166151,0.413532,-0.224819,0.046074,0.111759,0.073990,0.109067,0.868216,0.090994,-0.028659,0.442547,0.067546,-0.068708,0.016707,-0.005988,0.021503,1.120117,0.087113,-0.021813,1.346586,0.195808,-0.058407,1.380437,0.244122,-0.044201,1.474821,0.132996,0.114662,1.350363,0.141443,0.216948,1.084377,0.224355,0.012807,0.983056,-0.028681,-0.137069,1.352564,-0.077384,-0.234635,1.092237,0.115550,-0.213967,1.033207
6,1,Subject_03,ADL,T18,0.000000,0.000000,0.860235,-0.059359,-0.124898,0.856158,-0.017294,-0.218538,0.438879,-0.135545,-0.050045,0.068805,0.054844,0.122131,0.861894,0.074662,-0.000638,0.429835,0.050464,-0.043778,0.006021,-0.001663,0.026475,1.119419,0.098345,-0.017497,1.343850,0.210498,-0.050885,1.372540,0.262010,-0.039950,1.462230,0.140557,0.124347,1.345537,0.138359,0.225363,1.081424,0.231049,0.025928,0.976140,-0.011663,-0.143781,1.346005,-0.043393,-0.242984,1.091108,0.151027,-0.197701,1.032423
7,1,Subject_03,ADL,T18,0.000000,0.000000,0.860235,-0.041717,-0.129887,0.857604,0.030263,-0.238036,0.465486,-0.073058,-0.155388,0.042887,0.034323,0.130909,0.863674,0.051262,0.024805,0.431247,0.017221,-0.036250,0.004980,-0.003227,0.025989,1.118662,0.098353,-0.019786,1.344833,0.211707,-0.061128,1.369677,0.256254,-0.063971,1.463516,0.128441,0.128820,1.348947,0.124738,0.235714,1.090003,0.234940,0.047474,0.978791,-0.001264,-0.155172,1.342260,-0.015993,-0.258196,1.093821,0.170937,-0.161965,1.034015
8,1,Subject_03,ADL,T18,0.000000,0.000000,0.860235,-0.023879,-0.139307,0.856086,0.059032,-0.208288,0.453360,-0.015198,-0.227504,0.015179,0.019833,0.137552,0.864583,0.050632,0.076336,0.430716,0.016312,0.014322,0.005384,0.001381,0.026154,1.116676,0.109157,-0.015940,1.342852,0.219522,-0.063138,1.369619,0.259245,-0.066431,1.462377,0.120362,0.134855,1.351263,0.114233,0.248710,1.097337,0.244531,0.079033,0.979173,0.023330,-0.169179,1.341090,0.004222,-0.270158,1.101088,0.182553,-0.149433,1.046639
9,1,Subject_03,ADL,T18,0.000000,0.000000,0.860235,-0.006938,-0.142009,0.854753,0.063237,-0.194712,0.441577,0.064806,-0.266491,0.009236,0.006350,0.138676,0.862218,0.041517,0.094316,0.427709,0.008570,0.049532,0.000000,0.014006,0.027253,1.115429,0.148197,-0.018530,1.329851,0.255820,-0.064618,1.347137,0.297685,-0.074041,1.434379,0.140006,0.136687,1.335786,0.115336,0.257127,1.086216,0.255026,0.090903,0.970138,0.068158,-0.180174,1.321140,0.032209,-0.278107,1.093591,0.206179,-0.144231,1.030426
10,1,Subject_03,ADL,T18,0.000000,0.000000,0.860235,-0.000516,-0.142890,0.850479,0.096882,-0.156059,0.445074,0.141478,-0.215165,0.015551,0.001945,0.138502,0.865154,0.085586,0.118245,0.435986,0.052510,0.089955,0.016683,0.033223,0.025544,1.105037,0.207538,-0.020258,1.296141,0.316672,-0.058876,1.298586,0.357543,-0.069496,1.388956,0.188734,0.146496,1.295248,0.132285,0.266181,1.051858,0.285032,0.102780,0.943277,0.124323,-0.174784,1.293292,0.084102,-0.273378,1.057637,0.239010,-0.121708,0.995600
